id,name,age,years_of_experience,sport,country,contract_id,certification_committee
c_001995,Justin Neal,70,5,track,Italy,cc_001995,IAAF
c_001851,Rachel Gilmore,42,3,cycling,Russia,cc_001851,IOC
c_001776,Anthony Lopez,60,11,gymnastics,India,cc_001776,FIG
c_001180,Michael Simmons,64,11,shooting,Russia,cc_001180,ISSF
c_001819,Michael Gutierrez,59,5,rowing,Italy,cc_001819,IOC
c_000295,Joan Oconnor,45,13,swimming,China,cc_000295,WA
c_000507,William Wilson,39,20,decathlon,UK,cc_000507,IAAF
c_001012,Mrs. Olivia Edwards,42,17,fencing,USA,cc_001012,IOC
c_000683,Emily Davis DDS,67,8,shooting,UK,cc_000683,ISSF
c_001571,Malik Watts,62,1,rowing,China,cc_001571,IOC
c_000182,Christopher Oneal,44,19,swimming,Japan,cc_000182,WA
c_000077,William Noble,36,14,swimming,USA,cc_000077,WA
c_000862,Omar French,46,8,surfing,Italy,cc_000862,IOC
c_001499,Daniel Reese,33,19,track,Russia,cc_001499,IAAF
c_001561,Robin Jones,33,6,karate,Australia,cc_001561,IOC
c_000661,Suzanne Gamble,42,4,weightlifting,uk,cc_000661,IOC
c_001529,Valerie Gray,67,6,rowing,USA,cc_001529,IOC
c_001690,Gabriel Shaffer,54,9,track,Germany,cc_001690,IAAF
c_001837,Lisa Stewart,30,1,cycling,USA,cc_001837,IOC
c_001334,Jennifer Lowery,53,16,karate,Russia,cc_001334,IOC
c_000598,Peter Freeman,32,4,wrestling,Italy,cc_000598,IOC
c_001437,Dennis Nelson,55,11,surfing,Germany,cc_001437,IOC
c_001567,Miss Danielle Moore,49,15,swimming,India,cc_001567,WA
c_000682,Debra Bond,62,4,karate,USA,cc_000682,IOC
c_000012,Craig Morgan,45,6,fencing,UK,cc_000012,IOC
c_001134,Patricia Jimenez,38,18,cycling,Uk,cc_001134,IOC
c_000130,William Manning,61,5,cycling,China,cc_000130,IOC
c_001196,Alexis Morales,52,16,surfing,France,cc_001196,IOC
c_000529,Steven Chavez,32,12,sport climbing,UK,cc_000529,IOC
c_000958,Samantha Gregory,33,2,surfing,UK,cc_000958,IOC
c_001724,Chad Carlson,43,17,decathlon,France,cc_001724,IAAF
c_001359,Craig Franklin,52,17,fencing,Japan,cc_001359,IOC
c_000735,Pamela Thomas,38,7,boxing,China,cc_000735,IOC
c_001385,Timothy Stephens,46,19,archery,Australia,cc_001385,WAF
c_001821,Robert Cox,59,13,cycling,Japan,cc_001821,IOC
c_000833,Carly Thompson,58,8,sport climbing,France,cc_000833,IOC
c_001209,Samuel Estrada,56,15,surfing,Australia,cc_001209,IOC
c_000086,James Baker,57,3,boxing,China,cc_000086,IOC
c_000970,John Gibson,51,16,surfing,Canada,cc_000970,IOC
c_000872,Christian Graham,46,10,boxing,Russia,cc_000872,IOC
c_001941,Leah Decker,48,11,swimming,India,cc_001941,WA
c_000280,Brian Davila,58,16,rowing,India,cc_000280,IOC
c_000300,Melissa Marshall,66,16,fencing,Russia,cc_000300,IOC
c_000738,Eric Caldwell,56,18,surfing,UK,cc_000738,IOC
c_000419,Vanessa Kennedy,40,19,cycling,UK,cc_000419,IOC
c_000375,Heather Curtis,46,16,wrestling,UK,cc_000375,IOC
c_001543,Jessica Fisher,65,15,wrestling,Russia,cc_001543,IOC
c_001516,Carmen Peterson,41,3,rowing,China,cc_001516,IOC
c_001634,Ashley Scott,42,10,shooting,Japan,cc_001634,ISSF
c_001849,Michelle Stuart,70,6,swimming,UK,cc_001849,WA
c_000087,Angela Davidson,40,6,swimming,Australia,cc_000087,WA
c_000968,Mary Fitzpatrick,45,16,sport climbing,USA,cc_000968,IOC
c_001835,Thomas Villanueva,58,19,cycling,China,cc_001835,IOC
c_001434,Aaron Roberts,63,5,track,Italy,cc_001434,IAAF
c_001047,Derek Chapman,31,9,archery,Canada,cc_001047,WAF
c_001064,Jim Goodman,43,3,track,France,cc_001064,IAAF
c_000955,Elizabeth Harper,47,6,gymnastics,China,cc_000955,FIG
c_001576,Natalie Roberts,42,2,sport climbing,Russia,cc_001576,IOC
c_000219,Sarah Dorsey,55,3,surfing,Australia,cc_000219,IOC
c_001445,Christopher Walker,42,14,gymnastics,Italy,cc_001445,FIG
c_000462,Tracy Sanchez,49,3,archery,USA,cc_000462,WAF
c_000716,Joseph Burton,63,4,decathlon,UK,cc_000716,IAAF
c_000670,Rebecca Holland,60,14,weightlifting,Australia,cc_000670,IOC
c_000589,Jack Savage,45,15,fencing,JaPAN,cc_000589,IOC
c_000001,Christopher Hill,44,14,wrestling,UK,cc_000001,IOC
c_001880,Yolanda Salazar,41,18,boxing,Australia,cc_001880,IOC
c_000839,Debra Smith,50,2,fencing,Russia,cc_000839,IOC
c_000311,Tyler Munoz,53,9,karate,Russia,cc_000311,IOC
c_001947,Christopher Chavez,66,1,archery,USA,cc_001947,WAF
c_001694,Zoe Livingston,61,20,track,USA,cc_001694,IAAF
c_000108,Luke Green,60,17,weightlifting,China,cc_000108,IOC
c_000187,Nancy Kline,53,12,rowing,USA,cc_000187,IOC
c_001704,Tonya Ross,47,4,rowing,Australia,cc_001704,IOC
c_001380,Autumn Romero,45,3,track,India,cc_001380,IAAF
c_000068,Aaron Thomas,52,1,decathlon,Canada,cc_000068,IAAF
c_000162,Gabriela Bell,52,19,wrestling,France,cc_000162,IOC
c_000065,Joshua Mays,46,3,rowing,Australia,cc_000065,IOC
c_001732,Rebecca Smith,63,1,weightlifting,India,cc_001732,IOC
c_000612,Angela Miller,65,8,rowing,Germany,cc_000612,IOC
c_000896,Jennifer Alexander,38,20,rowing,India,cc_000896,IOC
c_001826,Sarah Boone,30,8,cycling,USA,cc_001826,IOC
c_001169,Dustin Hamilton,48,12,surfing,Russia,cc_001169,IOC
c_000755,Sarah Scott,49,13,swimming,Germany,cc_000755,WA
c_000756,Jenna Smith,50,10,karate,France,cc_000756,IOC
c_000289,Jacob Cherry,36,17,fencing,Russia,cc_000289,IOC
c_001200,David Robinson IV,64,16,cycling,UK,cc_001200,IOC
c_001319,Kristin Castillo,68,13,swimming,Australia,cc_001319,WA
c_000727,James Lindsey,63,18,fencing,UK,cc_000727,IOC
c_000453,Danielle Miranda,33,19,shooting,Canada,cc_000453,ISSF
c_000486,Charles Robinson,66,17,decathlon,Canada,cc_000486,IAAF
c_001443,Gina Wang,65,20,wrestling,Canada,cc_001443,IOC
c_001978,Elizabeth Cook,66,10,cycling,chiNa,cc_001978,IOC
c_001936,Jeffery Duke,58,9,gymnastics,USA,cc_001936,FIG
c_000543,Tommy Miller,45,12,archery,Italy,cc_000543,WAF
c_000527,Kevin Norman,65,1,fencing,Australia,cc_000527,IOC
c_001749,Alexandra Vaughn,54,14,fencing,USA,cc_001749,IOC
c_001396,Jennifer Leon,56,8,fencing,Australia,cc_001396,IOC
c_000641,John Johnson,68,5,wrestling,Russia,cc_000641,IOC
c_001240,Scott Miller,55,2,shooting,France,cc_001240,ISSF
c_001304,Tamara Williams,67,1,decathlon,Japan,cc_001304,IAAF
c_001799,Stephanie Adams,54,20,rowing,Japan,cc_001799,IOC
c_000038,Cory Wall,35,8,weightlifting,India,cc_000038,IOC
c_000184,Mikayla Barnett PhD,40,11,fencing,France,cc_000184,IOC
c_001446,Jimmy Rivera,51,5,archery,India,cc_001446,WAF
c_000096,Tracy Jones,49,14,surfing,France,cc_000096,IOC
c_000386,John Martin,54,10,karate,UK,cc_000386,IOC
c_001068,Steven Johnson,38,18,track,UK,cc_001068,IAAF
c_001654,Kimberly Lamb,58,6,surfing,Italy,cc_001654,IOC
c_001590,Christina Robinson,46,3,rowing,Japan,cc_001590,IOC
c_001881,Sheila Duran,58,19,weightlifting,USA,cc_001881,IOC
c_000800,Mark Stanley,31,1,cycling,France,cc_000800,IOC
c_000403,Christina Young,40,9,track,Germany,cc_000403,IAAF
c_001566,Jessica Padilla,61,14,track,Italy,cc_001566,IAAF
c_000064,Jennifer Green,67,8,archery,China,cc_000064,WAF
c_001257,Matthew Reilly,41,11,surfing,Russia,cc_001257,IOC
c_001695,Julia Bell,50,3,shooting,UK,cc_001695,ISSF
c_001779,Anna Stanley,44,18,decathlon,France,cc_001779,IAAF
c_000750,Amber Scott,33,14,fencing,cAnADA,cc_000750,IOC
c_001307,Matthew Gardner,70,17,karate,China,cc_001307,IOC
c_000207,Jeanne Andrews,33,20,gymnastics,cHinA,cc_000207,FIG
c_000278,Danielle Mcgee MD,37,13,archery,Russia,cc_000278,WAF
c_000534,Cassandra Powell,48,12,karate,jAPAN,cc_000534,IOC
c_000250,Jenna Martin,62,18,track,France,cc_000250,IAAF
c_000414,Jacob King,44,17,decathlon,Germany,cc_000414,IAAF
c_001023,Tammy Nelson,50,8,archery,USA,cc_001023,WAF
c_000223,Shannon Roberson,59,6,fencing,Russia,cc_000223,IOC
c_001216,Richard Kramer,62,11,boxing,Japan,cc_001216,IOC
c_001050,Catherine Stone,70,7,gymnastics,India,cc_001050,FIG
c_000327,Joshua Brown,53,1,rowing,France,cc_000327,IOC
c_000920,Robert Sherman,42,12,track,Germany,cc_000920,IAAF
c_001816,Jill Gould,46,12,boxing,UK,cc_001816,IOC
c_001419,Patrick Oneal,31,20,gymnastics,USA,cc_001419,FIG
c_001919,Sara Lee,51,3,boxing,India,cc_001919,IOC
c_001628,Russell Rodriguez,41,10,gymnastics,USA,cc_001628,FIG
c_000745,Pamela Crawford,66,20,surfing,FrAnce,cc_000745,IOC
c_000332,Denise Craig,62,20,gymnastics,Canada,cc_000332,FIG
c_000352,Ricardo Cox,39,2,sport climbing,USA,cc_000352,IOC
c_000699,Angela Washington,34,18,archery,Japan,cc_000699,WAF
c_001771,Shawn Avery,64,18,karate,USA,cc_001771,IOC
c_001506,Bobby Carrillo,36,14,gymnastics,Australia,cc_001506,FIG
c_001330,Sarah Clark,61,12,shooting,Australia,cc_001330,ISSF
c_001926,Adrian Cooke,64,4,fencing,UK,cc_001926,IOC
c_000565,Ashley Chen,51,8,boxing,Italy,cc_000565,IOC
c_000221,Rachel Boyer,61,3,swimming,UK,cc_000221,WA
c_001052,Jordan Lopez DDS,49,11,boxing,Germany,cc_001052,IOC
c_000466,Brianna King,61,20,karate,Italy,cc_000466,IOC
c_001102,Lynn Perez,39,9,swimming,Canada,cc_001102,WA
c_001113,Anthony Sanchez,50,7,weightlifting,Canada,cc_001113,IOC
c_001424,Christine Garcia,31,1,track,India,cc_001424,IAAF
c_001504,Jade Martinez,65,11,shooting,France,cc_001504,ISSF
c_000848,Stephen Lawson,36,18,rowing,UK,cc_000848,IOC
c_001033,Jeffrey Hartman,51,10,track,Australia,cc_001033,IAAF
c_001118,Jennifer Vargas,55,12,decathlon,Germany,cc_001118,IAAF
c_001524,Kristi Graham,37,9,wrestling,Japan,cc_001524,IOC
c_001143,Diana Wall,64,5,wrestling,Australia,cc_001143,IOC
c_001701,Nicole Ramsey,63,18,rowing,Germany,cc_001701,IOC
c_001768,Tracy Flores,63,15,shooting,France,cc_001768,ISSF
c_000711,Rebecca Smith,59,6,track,Germany,cc_000711,IAAF
c_001224,William Banks,56,14,rowing,Russia,cc_001224,IOC
c_001822,Haley Gallagher,30,17,decathlon,Germany,cc_001822,IAAF
c_000807,Keith Barnes,61,1,wrestling,Italy,cc_000807,IOC
c_000980,Jessica Johnson,30,12,swimming,UK,cc_000980,WA
c_000431,Daniel Walker,62,4,wrestling,Canada,cc_000431,IOC
c_001269,Allison York,35,10,boxing,Italy,cc_001269,IOC
c_001659,Samantha Alvarez,67,5,fencing,China,cc_001659,IOC
c_001798,Denise Clark,60,6,shooting,India,cc_001798,ISSF
c_000660,Donna Turner,63,18,cycling,uSa,cc_000660,IOC
c_000719,Deborah Mitchell,54,9,gymnastics,Italy,cc_000719,FIG
c_001538,David Powell,34,1,gymnastics,China,cc_001538,FIG
c_001674,Veronica Carlson,38,11,decathlon,Canada,cc_001674,IAAF
c_001906,Terri Randall,65,10,fencing,Russia,cc_001906,IOC
c_001242,Tracy Dominguez,51,8,boxing,Australia,cc_001242,IOC
c_000506,Robert Cooper,70,1,shooting,USA,cc_000506,ISSF
c_001421,Sydney Riley,38,5,fencing,Canada,cc_001421,IOC
c_001042,Tyler Smith,44,1,rowing,France,cc_001042,IOC
c_000512,Natalie Chapman,63,15,weightlifting,Japan,cc_000512,IOC
c_000487,Desiree Russell,34,9,decathlon,Russia,cc_000487,IAAF
c_001161,Andrew Wood,69,13,fencing,Japan,cc_001161,IOC
c_000343,Larry Reid,36,8,archery,Canada,cc_000343,WAF
c_001361,Laura Holt,31,7,fencing,France,cc_001361,IOC
c_000214,Samantha Sanders,35,10,gymnastics,India,cc_000214,FIG
c_000976,Jeffrey Cruz,65,15,shooting,France,cc_000976,ISSF
c_000781,Brett Dixon,69,11,gymnastics,USA,cc_000781,FIG
c_001476,Christine Green,33,4,fencing,Canada,cc_001476,IOC
c_000691,James Richards,48,1,wrestling,CHINa,cc_000691,IOC
c_000566,Rachel Morris,42,16,archery,India,cc_000566,WAF
c_000318,Danielle Grimes,38,19,gymnastics,Australia,cc_000318,FIG
c_000449,Patrick Perkins,68,11,sport climbing,China,cc_000449,IOC
c_001719,James Garner,56,12,cycling,Russia,cc_001719,IOC
c_001862,Kevin Smith,47,3,archery,Russia,cc_001862,WAF
c_001743,Joshua Ball,49,4,track,India,cc_001743,IAAF
c_001692,Eric Pace,38,2,decathlon,CHiNA,cc_001692,IAAF
c_001239,Paula Trujillo,49,1,wrestling,GErmaNy,cc_001239,IOC
c_000741,Stacy Day,63,17,track,Italy,cc_000741,IAAF
c_001578,Bonnie Crawford,58,8,weightlifting,India,cc_001578,IOC
c_001477,Jonathan Hunt,41,18,swimming,Russia,cc_001477,WA
c_001395,Joseph Miller,38,12,archery,China,cc_001395,WAF
c_001348,Timothy Morrison,46,13,wrestling,Japan,cc_001348,IOC
c_000774,Mark Weaver,42,2,cycling,iTALY,cc_000774,IOC
c_000815,Ronald Wallace,53,16,rowing,UK,cc_000815,IOC
c_000240,Tammy Acosta,64,1,rowing,ChiNa,cc_000240,IOC
c_000794,Brian Morales,62,10,boxing,Canada,cc_000794,IOC
c_000287,Rebecca Curtis,32,3,shooting,UK,cc_000287,ISSF
c_000460,Zoe Brown,39,2,sport climbing,China,cc_000460,IOC
c_001711,Charles Ramirez,58,14,cycling,Japan,cc_001711,IOC
c_000515,Mary Ford,61,18,swimming,China,cc_000515,WA
c_001273,Sarah Navarro,42,4,weightlifting,France,cc_001273,IOC
c_001511,Renee Brown,53,5,cycling,Italy,cc_001511,IOC
c_001635,Michael Davis,48,20,shooting,Germany,cc_001635,ISSF
c_001435,Taylor Hammond,33,6,swimming,India,cc_001435,WA
c_000545,Samuel Mccall,42,15,cycling,Japan,cc_000545,IOC
c_000206,Eric Reid,48,9,track,France,cc_000206,IAAF
c_001109,Scott Wilson,57,20,gymnastics,China,cc_001109,FIG
c_001740,Candice Davis,60,2,boxing,Canada,cc_001740,IOC
c_001709,Kathy Gibson,34,11,decathlon,Italy,cc_001709,IAAF
c_000293,Heather Reeves,50,6,boxing,Germany,cc_000293,IOC
c_001391,Christopher Thomas,52,15,shooting,India,cc_001391,ISSF
c_001770,Kelly Patel,52,1,decathlon,Australia,cc_001770,IAAF
c_001928,Patricia Fisher,54,6,boxing,Russia,cc_001928,IOC
c_000979,Bobby Stewart,42,19,boxing,USA,cc_000979,IOC
c_001631,Kristina Guzman,37,6,cycling,Russia,cc_001631,IOC
c_000016,Kathryn Frye,64,10,surfing,India,cc_000016,IOC
c_001092,Sandra Huang,39,19,karate,Russia,cc_001092,IOC
c_001890,Justin Davis,60,17,swimming,China,cc_001890,WA
c_001540,Sarah Espinoza,38,13,archery,USA,cc_001540,WAF
c_000510,Cynthia Jordan,57,2,track,Italy,cc_000510,IAAF
c_001939,Amy Burns,44,18,weightlifting,Russia,cc_001939,IOC
c_000204,Miguel Munoz,40,14,decathlon,Japan,cc_000204,IAAF
c_001537,Mary Scott,58,14,wrestling,France,cc_001537,IOC
c_000089,Maria Buck,45,12,wrestling,UK,cc_000089,IOC
c_001370,Matthew York,60,17,decathlon,Japan,cc_001370,IAAF
c_000730,Nichole Sandoval,69,3,karate,Italy,cc_000730,IOC
c_001977,Rachel Nichols,57,8,cycling,France,cc_001977,IOC
c_001449,Michelle Mckinney,42,19,sport climbing,France,cc_001449,IOC
c_001686,Jamie Cordova,44,6,weightlifting,Russia,cc_001686,IOC
c_000880,Deanna Bradley,55,19,gymnastics,USA,cc_000880,FIG
c_000425,Joseph Reed,66,20,boxing,Germany,cc_000425,IOC
c_001887,Johnathan Whitaker,46,15,shooting,Japan,cc_001887,ISSF
c_001142,Gabrielle Hickman,54,1,decathlon,China,cc_001142,IAAF
c_001667,Ana Freeman,45,16,gymnastics,JAPan,cc_001667,FIG
c_001214,Laura Erickson,38,17,swimming,Italy,cc_001214,WA
c_000241,Tracey Lee,45,19,boxing,Australia,cc_000241,IOC
c_001315,Heather Simpson,69,1,wrestling,Japan,cc_001315,IOC
c_001343,Stephen Decker,32,6,swimming,UK,cc_001343,WA
c_001884,Craig Green,32,8,fencing,Russia,cc_001884,IOC
c_000575,Kevin Holmes,59,19,rowing,Russia,cc_000575,IOC
c_000718,Bethany Jones MD,40,16,swimming,Russia,cc_000718,WA
c_000134,John Ortiz,70,7,karate,Canada,cc_000134,IOC
c_000307,Matthew Madden,40,10,weightlifting,Australia,cc_000307,IOC
c_000758,Laurie Leon,53,10,rowing,Australia,cc_000758,IOC
c_000644,Joshua Johnson,59,2,karate,Japan,cc_000644,IOC
c_000703,Jessica Williams,51,5,shooting,Australia,cc_000703,ISSF
c_000011,Kristin Mendoza,44,1,archery,USA,cc_000011,WAF
c_000388,Julie Wilkerson,54,17,boxing,Russia,cc_000388,IOC
c_000312,Daniel Todd,39,16,fencing,Italy,cc_000312,IOC
c_000474,Brian Cooper,69,4,karate,UK,cc_000474,IOC
c_001185,Angela Lee,51,2,cycling,France,cc_001185,IOC
c_000048,Brett Steele DDS,60,12,swimming,Italy,cc_000048,WA
c_000877,Nicholas Kane,65,20,gymnastics,France,cc_000877,FIG
c_000341,Diana Davenport,31,17,track,USA,cc_000341,IAAF
c_001579,Jonathan Gonzalez,39,4,track,Japan,cc_001579,IAAF
c_001362,Ashley Cowan,59,4,shooting,China,cc_001362,ISSF
c_000614,Jody Gillespie,48,3,sport climbing,China,cc_000614,IOC
c_000124,Yvonne Reilly,35,4,cycling,Russia,cc_000124,IOC
c_001227,Jessica Turner,57,2,track,Japan,cc_001227,IAAF
c_000071,Dominic Larson,37,5,cycling,India,cc_000071,IOC
c_000742,Larry Roach,42,2,boxing,India,cc_000742,IOC
c_000526,Joseph James,45,11,surfing,China,cc_000526,IOC
c_001729,Jesse Miller,49,10,sport climbing,Canada,cc_001729,IOC
c_001349,Christopher Griffin,53,6,archery,Germany,cc_001349,WAF
c_001583,Katie Robinson,68,1,decathlon,Australia,cc_001583,IAAF
c_001211,Ashley Ball,59,1,karate,UK,cc_001211,IOC
c_000090,Shaun Banks,59,16,fencing,Canada,cc_000090,IOC
c_001699,David Miller,45,20,shooting,India,cc_001699,ISSF
c_000903,William Beard,44,8,archery,UK,cc_000903,WAF
c_000650,Eric Hubbard,38,16,karate,UK,cc_000650,IOC
c_001397,Heather Greene,35,3,rowing,UsA,cc_001397,IOC
c_000094,Kevin Mcdonald,38,19,boxing,Japan,cc_000094,IOC
c_000189,Christina Sanders,48,9,rowing,Canada,cc_000189,IOC
c_000535,Deborah Bautista,59,8,decathlon,Germany,cc_000535,IAAF
c_000524,Dana Bautista,36,16,cycling,Germany,cc_000524,IOC
c_001051,Emily White,31,3,decathlon,Japan,cc_001051,IAAF
c_001178,Tonya Williams,44,19,track,UK,cc_001178,IAAF
c_000990,Hannah Walker,56,5,cycling,USA,cc_000990,IOC
c_001623,Terry Washington,56,12,cycling,Japan,cc_001623,IOC
c_001793,Nathan Ross,52,4,sport climbing,usa,cc_001793,IOC
c_001697,Michael Rodriguez,45,10,wrestling,Russia,cc_001697,IOC
c_001644,Michelle Wells,64,3,archery,India,cc_001644,WAF
c_001568,Mark Morrison,68,19,surfing,JApAN,cc_001568,IOC
c_000609,James Wilcox,62,14,archery,Italy,cc_000609,WAF
c_001637,Jacqueline Gilbert,64,4,shooting,chINA,cc_001637,ISSF
c_000573,Diana Moore,35,13,rowing,UK,cc_000573,IOC
c_000461,Michael Reeves,60,18,swimming,Australia,cc_000461,WA
c_001613,Joshua Keith,30,9,decathlon,Germany,cc_001613,IAAF
c_000894,Michael Davis,35,8,boxing,Russia,cc_000894,IOC
c_001542,Jody Ruiz,54,3,surfing,Canada,cc_001542,IOC
c_000530,John Bryant,56,20,fencing,Canada,cc_000530,IOC
c_001948,Kimberly Rosales,58,14,track,UK,cc_001948,IAAF
