id,name,dob,height(m),weight(kg),sport,country,num_followers,num_articles,personal_best,event,coach_id
a_000137,Stephanie Ali,2005-08-29,1.73,75,rowing,India,9397,29,73.6,sweeping,c_001042
a_000417,Hector Collins,1992-01-25,1.56,76,decathlon,France,3544,75,90.0,400m,c_000716
a_000280,Jason Pierce,2000-02-12,1.99,68,boxing,Australia,7035,94,73.0,heavyweight,c_000890
a_000214,Douglas Thornton,1994-07-27,1.81,66,fencing,Russia,6757,58,78.0,sabre,c_000114
a_000302,Lauren Cross,2001-08-29,1.63,69,wrestling,Germany,8546,85,75.0,freestyle,c_000939
a_000208,Joseph Carpenter,2005-01-03,1.9,79,shooting,Australia,7537,83,35.0,pistol,c_001213
a_000108,Amanda Smith,2005-02-27,1.58,83,cycling,france,1822,4,84.56,road,c_000364
a_000202,Daniel Johnson,2007-09-05,1.81,69,shooting,China,779,47,32.0,rifle,c_001376
a_000072,Joseph Maldonado,2001-11-28,1.81,63,gymnastics,USA,7777,12,40.0,vault,c_001698
a_000289,Aaron Guerra,2008-10-20,1.65,60,boxing,Japan,5417,47,54.0,lightweight,c_001483
a_000022,Travis Gonzalez,2004-10-24,1.98,59,swimming,Canada,6666,85,80.49,breaststroke,c_001572
a_000335,Luis Smith,1993-01-23,1.8,78,karate,France,2214,78,84.0,kumite,c_001267
a_000326,Kerri Little,1998-02-04,1.74,67,karate,Germany,7923,37,48.0,kumite,c_000969
a_000365,Kathy Spencer,2001-12-28,1.89,85,sport climbing,Germany,4738,37,97.13,lead,c_000648
a_000209,Heather Miller,1990-10-13,1.59,78,shooting,Russia,9826,36,36.0,rifle,c_001756
a_000201,Suzanne Jackson,1990-11-28,1.77,95,shooting,India,187,85,22.0,pistol,c_001808
a_000418,Nancy Strickland,2002-12-08,1.53,84,decathlon,Canada,3286,55,55.0,100m,c_000608
a_000265,Megan Obrien,2000-10-17,1.72,77,boxing,Italy,6751,72,22.0,heavyweight,c_001816
a_000027,Corey Schneider,2002-10-17,1.72,80,swimming,France,5426,1,45.15,backstroke,c_000303
a_000147,Ryan Lopez,2007-09-16,1.54,74,rowing,Russia,208,79,98.03,sweeping,c_001294
a_000379,Cristina Ball,1989-07-04,1.96,88,sport climbing,Italy,6818,22,27.06,speed,c_001959
a_000054,Amanda Evans,1998-05-27,1.88,88,track,USA,8963,1,95.88,sprint,c_001150
a_000111,Pamela Larson,2005-05-23,1.78,99,cycling,USA,8806,85,79.36,mountain,c_000704
a_000400,Richard Phillips,2003-10-16,1.89,59,decathlon,USA,2796,71,84.0,pole vault,c_000068
a_000243,Dawn Crosby,1999-02-19,1.82,96,archery,China,6269,100,89.0,compound,c_001730
a_000104,Marissa Greene,2003-07-22,1.86,90,cycling,Australia,1311,34,60.12,track,c_000009
a_000367,Alan Silva,1990-05-15,2.0,91,sport climbing,France,9071,38,78.87,speed,c_000885
a_000027,Corey Schneider,2002-10-17,1.72,80,swimming,France,5426,1,45.15,butterfly,c_000303
a_000093,Crystal Riley,1992-07-29,1.98,96,cycling,AUStRALia,5194,0,77.82,BMX,c_000381
a_000131,Melody Valenzuela,2001-11-04,1.9,92,rowing,France,8546,8,91.02,sweeping,c_001529
a_000188,Christopher Park,2001-09-20,1.54,63,shooting,Italy,4415,5,54.0,shotgun,c_000976
a_000332,Lindsay Baker,2008-02-04,1.77,51,karate,China,2269,47,38.0,kata,c_001639
a_000305,April Cain,2006-05-23,1.94,82,wrestling,INDia,8076,16,83.0,greco-roman,c_000317
a_000107,Heather Hill,2003-08-16,1.69,86,cycling,Japan,3929,33,37.22,track,c_001934
a_000386,Sarah Parrish,2000-05-25,1.52,87,decathlon,China,6240,14,22.0,high jump,c_000019
a_000127,Larry Williamson,1990-10-12,1.91,61,cycling,UK,6584,42,70.74,mountain,c_000031
a_000422,Joseph Blake,2005-05-16,1.65,52,decathlon,USA,7042,50,69.0,discus,c_000681
a_000151,Roberto Holland,2004-03-18,1.79,85,rowing,Italy,4127,67,41.81,sweeping,c_001648
a_000092,Cheryl Wallace,2007-10-04,1.95,80,cycling,China,2102,11,42.36,road,c_001082
a_000084,Seth May,2008-02-23,1.72,83,cycling,ruSsia,4202,90,86.7,mountain,c_000451
a_000280,Jason Pierce,2000-02-12,1.99,68,boxing,Australia,7035,94,73.0,lightweight,c_000890
a_000310,Sara Friedman,1993-04-02,1.71,67,wrestling,Russia,4485,3,90.0,freestyle,c_001617
a_000346,Erin Mueller,2006-01-08,1.79,65,surfing,RusSiA,4829,84,63.0,shortboard,c_000751
a_000169,John Gonzalez,2009-03-22,1.55,63,shooting,China,2602,5,99.0,rifle,c_001028
a_000350,Madison Lindsey,2000-05-02,1.92,87,surfing,France,7334,0,96.0,shortboard,c_000230
a_000244,Michael Spencer,1998-09-15,1.86,69,archery,USA,202,23,20.0,compound,c_000279
a_000187,Matthew Taylor,1999-09-16,1.81,74,shooting,Russia,5584,90,37.0,pistol,c_000428
a_000023,Eileen Rice,1989-09-08,1.71,74,swimming,Australia,5567,35,76.22,breaststroke,c_001319
a_000187,Matthew Taylor,1999-09-16,1.81,74,shooting,Russia,5584,90,37.0,rifle,c_000428
a_000155,Ruth Price,2009-05-04,1.83,73,rowing,Australia,7165,23,51.25,sculling,c_001495
a_000259,Anna Santos,1994-11-13,1.69,63,boxing,UK,6796,54,97.0,flyweight,c_001287
a_000187,Matthew Taylor,1999-09-16,1.81,74,shooting,Russia,5584,90,37.0,shotgun,c_000428
a_000371,Mr. Troy Brown,2001-11-16,1.62,75,sport climbing,India,773,67,37.89,bouldering,c_000802
a_000358,Ian Lewis,2001-10-24,1.91,92,sport climbing,China,479,10,48.2,bouldering,c_000152
a_000249,Kristen Stevens,2001-04-15,1.62,53,archery,UK,4744,2,24.0,recurve,c_001395
a_000383,Carmen Poole,2000-06-12,1.76,68,decathlon,Japan,3527,86,76.0,100m,c_000782
a_000270,Matthew Washington,2006-10-03,1.94,90,boxing,UK,2246,38,40.0,middleweight,c_000094
a_000253,Sarah Johnson,1988-12-23,1.84,64,boxing,Russia,8275,93,89.0,featherweight,c_000693
a_000196,Kim Henry,1995-12-02,1.71,55,shooting,Canada,7850,90,54.0,pistol,c_000021
a_000234,Bradley Bailey,2003-02-07,1.51,82,weightlifting,Canada,8683,71,241.0,clean and jerk,c_000396
a_000028,Emily Weaver,1995-01-05,1.62,66,swimming,India,5974,65,37.27,backstroke,c_001346
a_000377,Karen Brooks,1995-09-08,1.66,100,sport climbing,Canada,3547,81,78.69,speed,c_000454
a_000377,Karen Brooks,1995-09-08,1.66,100,sport climbing,Canada,3547,81,78.69,lead,c_000454
a_000278,Elizabeth Mayer,2007-05-22,1.94,77,boxing,Japan,8969,58,10.0,welterweight,c_000146
a_000303,Justin Wheeler,1999-02-23,1.53,62,wrestling,Australia,358,96,55.0,greco-roman,c_001581
a_000142,Terry Holder,1992-07-10,1.77,78,rowing,France,1145,92,86.66,sculling,c_000338
a_000389,Wyatt Smith,2002-09-05,1.92,69,decathlon,USA,2796,39,67.0,discus,c_001177
a_000344,Amber Henry,2002-11-15,1.74,85,surfing,USA,2803,42,94.0,longboard,c_001298
a_000057,Travis Tate,1994-01-09,1.54,54,track,france,3956,50,87.94,hurdles,c_000510
a_000380,Katrina Smith,2001-12-08,1.68,64,sport climbing,China,6642,50,78.76,speed,c_000539
a_000173,Scott Gordon,1995-02-19,1.58,63,shooting,USA,3185,0,48.0,pistol,c_001414
a_000199,Tabitha Ayala,1995-01-10,1.81,60,shooting,Italy,9358,93,61.0,pistol,c_001798
a_000179,Leslie Willis,1993-11-26,1.56,84,shooting,India,4113,34,80.0,pistol,c_001391
a_000132,Aaron Hall,1990-07-18,1.79,74,rowing,USA,9800,99,50.15,sculling,c_000177
a_000156,Joe Butler,1991-01-19,1.78,62,rowing,Canada,9171,92,53.82,sculling,c_001427
a_000251,Barbara Lee,1989-10-30,1.79,55,archery,Italy,6181,98,44.0,compound,c_000869
a_000306,Steven Warren,1996-02-04,1.78,70,wrestling,France,1433,96,23.0,freestyle,c_001874
a_000420,Anita Allen,1992-10-01,1.8,79,decathlon,Australia,2521,9,78.0,long jump,c_001662
a_000412,Jamie Anderson,1993-10-25,1.99,58,decathlon,Germany,4443,40,77.0,1500m,c_001208
a_000183,Paula Moore,2004-05-20,1.54,54,shooting,FRANce,9664,40,27.0,shotgun,c_000376
a_000189,David Maddox,2001-05-09,1.55,80,shooting,Germany,4193,41,75.0,shotgun,c_001619
a_000343,Bobby Mills,2006-01-21,1.81,98,surfing,UK,5152,75,90.0,shortboard,c_000105
a_000179,Leslie Willis,1993-11-26,1.56,84,shooting,India,4113,34,80.0,rifle,c_001391
a_000095,Keith Hill,1997-11-28,1.92,94,cycling,Russia,3775,3,33.57,road,c_000660
a_000290,Amanda Villegas,1993-12-15,1.69,61,boxing,Canada,8668,5,61.0,light heavyweight,c_001242
a_000213,Amanda Scott,2008-01-27,1.52,53,fencing,Germany,538,36,27.0,foil,c_000826
a_000094,Matthew Chapman,2005-06-14,1.67,85,cycling,UK,7185,92,98.08,road,c_000816
a_000005,Amy Thompson,1993-05-20,1.76,78,swimming,France,1274,33,63.36,medley,c_000690
a_000163,Paul Decker,2007-12-17,1.94,71,rowing,UK,3461,49,71.71,sweeping,c_000743
a_000379,Cristina Ball,1989-07-04,1.96,88,sport climbing,Italy,6818,22,27.06,lead,c_001959
a_000010,Michael Salazar,1992-04-05,1.7,72,swimming,Italy,1757,97,58.15,medley,c_000528
a_000364,Trevor Newman,1993-03-11,1.77,97,sport climbing,Russia,6741,82,77.38,bouldering,c_001215
a_000103,Monica Cannon,1989-05-25,1.89,99,cycling,China,8060,80,67.54,track,c_001258
a_000037,Dustin Anderson,2004-03-09,1.99,65,swimming,UK,7494,48,68.58,backstroke,c_000087
a_000290,Amanda Villegas,1993-12-15,1.69,61,boxing,Canada,8668,5,61.0,heavyweight,c_001242
a_000098,Mr. Craig Faulkner DVM,2006-02-02,1.63,87,cycling,Canada,1820,80,24.01,road,c_000997
a_000034,Jesus Thomas,1990-09-25,1.92,99,swimming,auSTrAliA,7848,42,46.22,backstroke,c_001300
a_000019,Andre Greene,2002-08-06,1.59,95,swimming,Japan,9282,100,98.83,medley,c_000718
a_000414,Kristen Flores,2004-05-06,1.66,58,decathlon,India,5274,55,42.0,shot put,c_000332
a_000315,Amy Thomas,1989-04-10,1.91,79,wrestling,Italy,2496,42,39.0,freestyle,c_001463
a_000413,Denise Anderson,1995-04-27,1.93,60,decathlon,UK,8148,35,47.0,100m,c_000767
a_000254,Kathleen Tucker,1992-04-01,1.67,53,boxing,Italy,4110,7,96.0,lightweight,c_000700
a_000328,Jeremiah Poole,1989-05-19,1.72,61,karate,UK,3633,69,73.0,kumite,c_001176
a_000245,Michelle Jones,1990-02-08,1.69,84,archery,Russia,7519,54,59.0,recurve,c_001047
a_000216,Linda Grimes,1994-01-31,1.61,85,fencing,Italy,1943,48,55.0,foil,c_000398
a_000247,Lauren Howard,1988-11-07,1.54,71,archery,France,6813,49,93.0,compound,c_001121
a_000204,Jason Bush,1993-04-19,1.96,75,shooting,UK,9670,100,39.0,pistol,c_001913
a_000034,Jesus Thomas,1990-09-25,1.92,99,swimming,auSTrAliA,7848,42,46.22,medley,c_001300
a_000109,Lori Allen,1997-07-30,1.99,84,cycling,Canada,7612,78,56.75,BMX,c_001910
a_000406,Veronica Wells,1992-10-24,1.6,59,decathlon,France,9430,69,78.0,high jump,c_001142
a_000125,Megan Bush,1988-10-31,1.53,100,cycling,chINA,3796,99,35.82,track,c_000665
a_000282,Spencer Kaufman,2003-01-03,1.6,78,boxing,Germany,8204,15,45.0,featherweight,c_000432
a_000382,Ricky Reese,2008-10-10,1.66,93,sport climbing,India,4731,59,32.82,lead,c_000459
a_000342,Catherine Clark,1994-11-13,1.66,69,surfing,Japan,3430,96,66.0,longboard,c_000339
a_000105,Kevin Moreno,1993-07-02,1.59,72,cycling,UK,122,40,73.98,mountain,c_000031
a_000188,Christopher Park,2001-09-20,1.54,63,shooting,Italy,4415,5,54.0,rifle,c_000287
a_000021,Gregory Drake,1994-04-12,1.93,81,swimming,Italy,3212,21,59.51,medley,c_000528
a_000285,Michael Frederick,1998-07-14,1.65,55,boxing,USA,6561,37,62.0,featherweight,c_001842
a_000031,Brandon Price,2001-04-23,1.6,71,swimming,Germany,2593,15,76.68,butterfly,c_001147
a_000248,Lindsey Contreras,1990-08-17,1.97,70,archery,Germany,6216,50,88.0,recurve,c_001023
a_000109,Lori Allen,1997-07-30,1.99,84,cycling,Canada,7612,78,56.75,mountain,c_001910
a_000176,Vicki Marsh,2007-06-22,1.91,95,shooting,Russia,9056,87,98.0,rifle,c_000747
a_000366,Kenneth Tucker,2004-07-05,1.6,52,sport climbing,Canada,6468,57,30.94,lead,c_000051
a_000097,Christopher Ryan,2005-02-07,1.75,84,cycling,France,9030,19,77.05,road,c_000984
a_000114,Tiffany Austin,1998-02-27,1.56,74,cycling,China,528,66,89.0,mountain,c_000990
a_000308,Aaron Austin,1994-11-18,1.8,95,wrestling,Japan,7646,90,94.0,freestyle,c_001252
a_000190,Kimberly Johnson,1992-07-12,1.71,61,shooting,IndiA,4676,16,11.0,rifle,c_000391
a_000220,Mindy Cantrell,2009-09-29,1.77,56,fencing,France,2677,95,32.0,sabre,c_000111
a_000283,Mr. Joseph Sparks,2009-06-06,1.58,86,boxing,France,527,18,40.0,heavyweight,c_000742
a_000029,David Wilkins,2001-11-29,1.75,86,swimming,Russia,1602,52,32.14,breaststroke,c_001788
a_000218,Anthony Bradley,1998-09-01,1.87,92,fencing,Canada,8776,78,51.0,epee,c_000589
a_000030,Michelle Holt,2007-11-06,1.74,99,swimming,Japan,4194,69,78.13,breaststroke,c_001941
a_000203,Colin Norris,1989-05-13,1.9,71,shooting,Japan,9616,98,67.0,rifle,c_000944
a_000350,Madison Lindsey,2000-05-02,1.92,87,surfing,France,7334,0,96.0,longboard,c_000230
a_000111,Pamela Larson,2005-05-23,1.78,99,cycling,USA,8806,85,79.36,road,c_000704
a_000309,Charles Robinson,1992-04-28,1.88,77,wrestling,China,2340,10,39.0,greco-roman,c_000129
a_000291,Benjamin Green,2007-11-22,1.72,73,boxing,Australia,4055,11,49.0,welterweight,c_000894
a_000020,Dennis Lopez,2003-10-22,1.86,57,swimming,Germany,2585,67,80.09,medley,c_001552
a_000009,Thomas Wilson,1998-11-14,1.62,53,swimming,Germany,5123,9,49.97,breaststroke,c_001869
a_000144,Anthony Singh,1989-11-14,1.95,82,rowing,Australia,4190,36,70.69,sweeping,c_000610
a_000129,Joseph Sanchez,2003-07-04,1.63,70,cycling,Japan,3879,61,42.08,BMX,c_001977
a_000119,Jeffrey Cochran,1997-06-24,1.7,72,cycling,France,1326,39,42.78,mountain,c_000874
a_000025,Stephanie Lyons,1990-11-29,1.56,52,swimming,China,1231,67,55.64,butterfly,c_000363
a_000083,Taylor Mckay,2005-06-16,1.73,65,cycling,UK,2033,73,37.39,track,c_001372
a_000185,Lauren Tran,1994-12-02,1.54,75,shooting,Canada,1244,57,47.0,pistol,c_000762
a_000003,John Smith,2001-01-27,1.65,80,swimming,CHiNa,8000,49,95.05,butterfly,c_000005
a_000380,Katrina Smith,2001-12-08,1.68,64,sport climbing,China,6642,50,78.76,bouldering,c_000539
a_000252,Amy Campos,1994-03-01,1.67,84,boxing,USA,5510,14,96.0,flyweight,c_001484
a_000233,Timothy Clark,2008-04-23,1.72,52,weightlifting,UK,9715,90,250.0,clean and jerk,c_001530
a_000285,Michael Frederick,1998-07-14,1.65,55,boxing,USA,6561,37,62.0,light heavyweight,c_001842
a_000286,Clayton Watson,1989-09-03,1.88,74,boxing,Russia,8504,79,100.0,middleweight,c_001908
a_000372,Brian Murphy,1990-01-29,1.79,92,sport climbing,USA,1078,8,77.22,speed,c_001299
a_000367,Alan Silva,1990-05-15,2.0,91,sport climbing,France,9071,38,78.87,bouldering,c_000885
a_000209,Heather Miller,1990-10-13,1.59,78,shooting,Russia,9826,36,36.0,pistol,c_001756
a_000101,Kathryn Stanley,1998-03-04,1.62,75,cycling,Italy,9210,77,27.5,road,c_001430
a_000139,Joel Stewart,1991-02-18,1.83,83,rowing,Germany,1029,58,90.09,sculling,c_001757
a_000351,Evan Wall,2000-05-09,1.92,94,surfing,Australia,6336,56,54.0,longboard,c_001027
a_000230,Elizabeth Maddox,2001-03-04,1.52,98,weightlifting,Russia,9195,37,263.0,snatch,c_000630
a_000235,James Rivera,2003-12-25,1.67,97,weightlifting,Italy,8735,35,190.0,clean and jerk,c_001069
a_000038,Elizabeth Snyder,1993-01-25,1.9,59,swimming,France,2134,16,75.41,breaststroke,c_000303
a_000199,Tabitha Ayala,1995-01-10,1.81,60,shooting,Italy,9358,93,61.0,shotgun,c_001798
a_000410,Thomas Rivera,2009-02-28,1.88,74,decathlon,Italy,8186,76,99.0,pole vault,c_000258
a_000322,Lydia Johnson,1994-03-30,1.69,92,karate,Canada,6826,35,53.0,kumite,c_001624
a_000134,Deborah Brown,1998-10-13,1.67,67,rowing,Canada,76,46,68.73,sculling,c_001951
a_000387,Jennifer Johnson,2005-09-12,1.59,87,decathlon,Australia,1901,29,29.0,400m,c_000537
a_000147,Ryan Lopez,2007-09-16,1.54,74,rowing,Russia,208,79,98.03,sculling,c_001294
a_000161,Tommy Miller,1989-06-19,1.76,56,rowing,Germany,231,93,87.51,sculling,c_000328
a_000279,Stephanie Smith,2008-08-16,1.88,75,boxing,CanADA,2388,67,53.0,welterweight,c_001587
a_000165,Mrs. Ashley Pittman DVM,2006-07-17,1.61,59,rowing,USA,9009,30,60.64,sculling,c_001666
a_000327,Nicole Hood,1995-03-15,1.71,89,karate,inDIA,5201,30,45.0,kata,c_001723
a_000140,Kathleen Sosa,2005-12-08,1.67,82,rowing,Italy,1898,54,22.02,sweeping,c_000122
a_000376,Lisa Taylor,2001-01-05,1.9,59,sport climbing,Germany,2987,95,27.75,speed,c_001609
a_000089,Cody Johnson,2004-11-24,1.65,98,cycling,USA,9876,87,53.38,BMX,c_000369
a_000150,Michelle Martinez,1990-03-04,1.83,97,rowing,Germany,855,60,72.79,sweeping,c_000328
a_000305,April Cain,2006-05-23,1.94,82,wrestling,INDia,8076,16,83.0,freestyle,c_000317
a_000182,Julie Holt,2004-09-19,1.88,78,shooting,UK,9200,54,46.0,pistol,c_001237
a_000026,Amanda Kelly,1999-03-04,1.93,72,swimming,UK,6048,26,91.62,medley,c_001081
a_000130,Matthew Cummings,1988-11-26,1.84,66,rowing,UK,1580,69,47.0,sculling,c_001285
a_000077,Dennis Anderson,2007-12-24,1.95,55,gymnastics,UK,4726,60,17.0,floor,c_000578
a_000085,Andrea Murphy,1990-08-07,1.8,73,cycling,Japan,7979,5,42.95,BMX,c_000130
a_000398,Eric Navarro,1998-12-09,1.82,89,decathlon,Australia,6751,70,25.0,110m hurdles,c_000168
a_000378,Hayley Carter,1991-08-08,1.94,79,sport climbing,France,2077,7,60.17,lead,c_001596
a_000070,Jennifer Hunter,1995-11-19,1.88,85,gymnastics,Canada,8678,7,72.0,floor,c_000416
a_000042,Justin Rodriguez,2004-07-02,1.91,54,swimming,Germany,6777,69,87.51,medley,c_001201
a_000311,Cody Knight,1998-04-24,1.65,57,wrestling,Canada,7139,27,71.0,freestyle,c_001381
a_000260,Erica Martin,2008-09-12,1.69,98,boxing,gERmaNY,7956,21,47.0,featherweight,c_000584
a_000120,Lisa Mcmillan,2004-09-20,1.82,80,cycling,Canada,1777,54,54.76,track,c_000124
a_000381,Stacey Chapman,2002-10-04,1.95,63,sport climbing,UK,297,58,65.63,lead,c_001793
a_000183,Paula Moore,2004-05-20,1.54,54,shooting,FRANce,9664,40,27.0,pistol,c_000376
a_000041,William Mason,1989-12-15,1.86,73,swimming,Japan,3246,55,61.06,butterfly,c_000182
a_000040,Christy Jensen,1994-11-25,1.89,71,swimming,Russia,8180,12,37.71,backstroke,c_001556
a_000210,Garrett James MD,1996-01-27,1.82,60,shooting,Italy,9049,52,76.0,shotgun,c_000263
a_000033,Nicholas Barker,2002-04-13,1.73,65,swimming,Canada,221,45,79.95,breaststroke,c_000011
a_000201,Suzanne Jackson,1990-11-28,1.77,95,shooting,India,187,85,22.0,rifle,c_001808
a_000186,Jesus Smith,2007-05-11,1.59,57,shooting,Australia,2927,71,58.0,rifle,c_001687
a_000106,Cassandra Hughes,1989-01-01,1.68,62,cycling,Russia,5306,10,60.83,mountain,c_001272
a_000345,Cheryl Morris,1993-04-07,1.59,59,surfing,Italy,4485,3,18.0,longboard,c_001547
a_000306,Steven Warren,1996-02-04,1.78,70,wrestling,France,1433,96,23.0,greco-roman,c_001874
a_000046,Jonathan Riley,1993-09-29,1.69,50,track,France,7729,63,38.65,long distance,c_000522
